"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"MUNICIPIO",4300554,NA,0.747,NA,NA
2015,"MUNICIPIO",1400050,NA,0.7,NA,NA
2015,"MUNICIPIO",3501103,NA,0.7,NA,NA
2015,"MUNICIPIO",4300554,NA,0.7,NA,NA
2015,"MUNICIPIO",2100436,NA,0.554,NA,NA
2015,"MUNICIPIO",2100477,NA,0.558,NA,NA
2015,"MUNICIPIO",1100379,NA,0.592,NA,NA
2015,"MUNICIPIO",5100300,NA,0.704,NA,NA
2015,"MUNICIPIO",4200754,NA,0.755,NA,NA
2015,"MUNICIPIO",5100359,NA,0.651,NA,NA
2015,"MUNICIPIO",3102050,NA,0.661,NA,NA
2015,"MUNICIPIO",2400703,NA,0.672,NA,NA
2015,"MUNICIPIO",4300570,NA,0.734,NA,NA
2015,"MUNICIPIO",5100409,NA,0.701,NA,NA
2015,"MUNICIPIO",5200555,NA,0.719,NA,NA
2015,"MUNICIPIO",3153509,NA,0.66,NA,NA
2015,"MUNICIPIO",2200301,NA,0.585,NA,NA
2015,"MUNICIPIO",5100508,NA,0.638,NA,NA
2015,"MUNICIPIO",1100403,NA,0.678,NA,NA
2015,"MUNICIPIO",4128625,NA,0.678,NA,NA
2015,"MUNICIPIO",1100403,NA,0.625,NA,NA
2015,"MUNICIPIO",4128625,NA,0.625,NA,NA
2015,"MUNICIPIO",5200605,NA,0.713,NA,NA
2015,"MUNICIPIO",4100608,NA,0.696,NA,NA
2015,"MUNICIPIO",2100501,NA,0.633,NA,NA
2015,"MUNICIPIO",4100707,NA,0.676,NA,NA
2015,"MUNICIPIO",3102100,NA,0.62,NA,NA
2015,"MUNICIPIO",3200359,NA,0.664,NA,NA
2015,"MUNICIPIO",2300705,NA,0.601,NA,NA
2015,"MUNICIPIO",5100607,NA,0.705,NA,NA
2015,"MUNICIPIO",4100509,NA,0.721,NA,NA
2015,"MUNICIPIO",2200400,NA,0.614,NA,NA
2015,"MUNICIPIO",3501152,NA,0.766,NA,NA
2015,"MUNICIPIO",1300029,NA,0.527,NA,NA
2015,"MUNICIPIO",3102209,NA,0.592,NA,NA
2015,"MUNICIPIO",3501202,NA,0.728,NA,NA
2015,"MUNICIPIO",3501301,NA,0.758,NA,NA
2015,"MUNICIPIO",3501400,NA,0.688,NA,NA
2015,"MUNICIPIO",3501509,NA,0.722,NA,NA
2015,"MUNICIPIO",3102308,NA,0.676,NA,NA
2015,"MUNICIPIO",1700707,NA,0.699,NA,NA
2015,"MUNICIPIO",4300604,NA,0.699,NA,NA
2015,"MUNICIPIO",1700707,NA,0.708,NA,NA
2015,"MUNICIPIO",4300604,NA,0.708,NA,NA
2015,"MUNICIPIO",3102407,NA,0.572,NA,NA
2015,"MUNICIPIO",2200459,NA,0.578,NA,NA
2015,"MUNICIPIO",5200803,NA,0.66,NA,NA
2015,"MUNICIPIO",4100806,NA,0.708,NA,NA
2015,"MUNICIPIO",1100346,NA,0.643,NA,NA
2015,"MUNICIPIO",1400027,NA,0.484,NA,NA
2015,"MUNICIPIO",5000609,NA,0.673,NA,NA
2015,"MUNICIPIO",1600105,NA,0.642,NA,NA
2015,"MUNICIPIO",2100550,NA,0.52,NA,NA
2015,"MUNICIPIO",4100905,NA,0.669,NA,NA
2015,"MUNICIPIO",2600906,NA,0.58,NA,NA
2015,"MUNICIPIO",4300638,NA,0.624,NA,NA
2015,"MUNICIPIO",5200829,NA,0.609,NA,NA
2015,"MUNICIPIO",2200509,NA,0.598,NA,NA
2015,"MUNICIPIO",2100600,NA,0.555,NA,NA
2015,"MUNICIPIO",2901007,NA,0.625,NA,NA
2015,"MUNICIPIO",1300060,NA,0.56,NA,NA
2015,"MUNICIPIO",2901106,NA,0.666,NA,NA
2015,"MUNICIPIO",2901155,NA,0.561,NA,NA
2015,"MUNICIPIO",3501608,NA,0.811,NA,NA
2015,"MUNICIPIO",5200852,NA,0.7,NA,NA
2015,"MUNICIPIO",3501707,NA,0.751,NA,NA
2015,"MUNICIPIO",3501806,NA,0.745,NA,NA
2015,"MUNICIPIO",4300646,NA,0.682,NA,NA
2015,"MUNICIPIO",2300754,NA,0.606,NA,NA
2015,"MUNICIPIO",5200902,NA,0.681,NA,NA
2015,"MUNICIPIO",2500734,NA,0.606,NA,NA
2015,"MUNICIPIO",3501905,NA,0.606,NA,NA
2015,"MUNICIPIO",2500734,NA,0.785,NA,NA
2015,"MUNICIPIO",3501905,NA,0.785,NA,NA
2015,"MUNICIPIO",2800100,NA,0.611,NA,NA
2015,"MUNICIPIO",3102506,NA,0.641,NA,NA
2015,"MUNICIPIO",4101002,NA,0.709,NA,NA
2015,"MUNICIPIO",2700201,NA,0.568,NA,NA
2015,"MUNICIPIO",2901205,NA,0.54,NA,NA
2015,"MUNICIPIO",4101051,NA,0.695,NA,NA
2015,"MUNICIPIO",1500701,NA,0.484,NA,NA
2015,"MUNICIPIO",2100709,NA,0.581,NA,NA
2015,"MUNICIPIO",3502002,NA,0.754,NA,NA
2015,"MUNICIPIO",1300086,NA,0.594,NA,NA
2015,"MUNICIPIO",1701002,NA,0.671,NA,NA
2015,"MUNICIPIO",1500800,NA,0.718,NA,NA
2015,"MUNICIPIO",5201108,NA,0.737,NA,NA
2015,"MUNICIPIO",1500859,NA,0.548,NA,NA
2015,"MUNICIPIO",2100808,NA,0.581,NA,NA
2015,"MUNICIPIO",5000708,NA,0.663,NA,NA
2015,"MUNICIPIO",5000807,NA,0.67,NA,NA
2015,"MUNICIPIO",3200409,NA,0.73,NA,NA
2015,"MUNICIPIO",4200804,NA,0.73,NA,NA
2015,"MUNICIPIO",3200409,NA,0.699,NA,NA
2015,"MUNICIPIO",4200804,NA,0.699,NA,NA
2015,"MUNICIPIO",2901304,NA,0.555,NA,NA
2015,"MUNICIPIO",4101101,NA,0.725,NA,NA
2015,"MUNICIPIO",2901353,NA,0.588,NA,NA
2015,"MUNICIPIO",3102605,NA,0.734,NA,NA
2015,"MUNICIPIO",3502101,NA,0.779,NA,NA
2015,"MUNICIPIO",4300661,NA,0.72,NA,NA
2015,"MUNICIPIO",3102803,NA,0.7,NA,NA
2015,"MUNICIPIO",3502200,NA,0.719,NA,NA
2015,"MUNICIPIO",3102852,NA,0.597,NA,NA
2015,"MUNICIPIO",5000856,NA,0.697,NA,NA
2015,"MUNICIPIO",2601003,NA,0.572,NA,NA
2015,"MUNICIPIO",4200903,NA,0.687,NA,NA
2015,"MUNICIPIO",2901403,NA,0.625,NA,NA
2015,"MUNICIPIO",2200608,NA,0.63,NA,NA
2015,"MUNICIPIO",1701051,NA,0.648,NA,NA
2015,"MUNICIPIO",2400802,NA,0.624,NA,NA
2015,"MUNICIPIO",3300100,NA,0.724,NA,NA
2015,"MUNICIPIO",2901502,NA,0.589,NA,NA
2015,"MUNICIPIO",4101150,NA,0.721,NA,NA
2015,"MUNICIPIO",5201207,NA,0.725,NA,NA
2015,"MUNICIPIO",3502309,NA,0.721,NA,NA
2015,"MUNICIPIO",3502408,NA,0.741,NA,NA
2015,"MUNICIPIO",5201306,NA,0.714,NA,NA
2015,"MUNICIPIO",2200707,NA,0.594,NA,NA
2015,"MUNICIPIO",4201000,NA,0.688,NA,NA
2015,"MUNICIPIO",4201109,NA,0.674,NA,NA
2015,"MUNICIPIO",1300102,NA,0.561,NA,NA
2015,"MUNICIPIO",4300703,NA,0.74,NA,NA
2015,"MUNICIPIO",2901601,NA,0.592,NA,NA
2015,"MUNICIPIO",4101200,NA,0.687,NA,NA
2015,"MUNICIPIO",2300804,NA,0.599,NA,NA
2015,"MUNICIPIO",2200806,NA,0.62,NA,NA
2015,"MUNICIPIO",2901700,NA,0.561,NA,NA
2015,"MUNICIPIO",3102902,NA,0.683,NA,NA
2015,"MUNICIPIO",4201208,NA,0.683,NA,NA
2015,"MUNICIPIO",3102902,NA,0.749,NA,NA
2015,"MUNICIPIO",4201208,NA,0.749,NA,NA
2015,"MUNICIPIO",3103009,NA,0.645,NA,NA
2015,"MUNICIPIO",2901809,NA,0.598,NA,NA
2015,"MUNICIPIO",5000906,NA,0.643,NA,NA
2015,"MUNICIPIO",2400901,NA,0.578,NA,NA
2015,"MUNICIPIO",4101309,NA,0.656,NA,NA
2015,"MUNICIPIO",4300802,NA,0.758,NA,NA
2015,"MUNICIPIO",3103108,NA,0.684,NA,NA
2015,"MUNICIPIO",2500775,NA,0.578,NA,NA
2015,"MUNICIPIO",3502507,NA,0.578,NA,NA
2015,"MUNICIPIO",2500775,NA,0.755,NA,NA
2015,"MUNICIPIO",3502507,NA,0.755,NA,NA
2015,"MUNICIPIO",5201405,NA,0.718,NA,NA
2015,"MUNICIPIO",5201454,NA,0.693,NA,NA
2015,"MUNICIPIO",1701101,NA,0.651,NA,NA
2015,"MUNICIPIO",5001003,NA,0.697,NA,NA
2015,"MUNICIPIO",3502606,NA,0.721,NA,NA
2015,"MUNICIPIO",3300159,NA,0.692,NA,NA
2015,"MUNICIPIO",3200508,NA,0.673,NA,NA
2015,"MUNICIPIO",5100805,NA,0.675,NA,NA
2015,"MUNICIPIO",3502705,NA,0.71,NA,NA
2015,"MUNICIPIO",2100832,NA,0.568,NA,NA
2015,"MUNICIPIO",4201257,NA,0.708,NA,NA
2015,"MUNICIPIO",2401008,NA,0.639,NA,NA
2015,"MUNICIPIO",2901908,NA,0.548,NA,NA
2015,"MUNICIPIO",5201504,NA,0.693,NA,NA
2015,"MUNICIPIO",2901957,NA,0.552,NA,NA
2015,"MUNICIPIO",4101408,NA,0.748,NA,NA
2015,"MUNICIPIO",1300144,NA,0.637,NA,NA
2015,"MUNICIPIO",2300903,NA,0.618,NA,NA
2015,"MUNICIPIO",2800209,NA,0.578,NA,NA
2015,"MUNICIPIO",5001102,NA,0.688,NA,NA
2015,"MUNICIPIO",2301000,NA,0.641,NA,NA
2015,"MUNICIPIO",4201273,NA,0.733,NA,NA
2015,"MUNICIPIO",2500809,NA,0.549,NA,NA
2015,"MUNICIPIO",3103207,NA,0.695,NA,NA
2015,"MUNICIPIO",2800308,NA,0.77,NA,NA
2015,"MUNICIPIO",3502754,NA,0.704,NA,NA
2015,"MUNICIPIO",2902054,NA,0.57,NA,NA
2015,"MUNICIPIO",2301109,NA,0.655,NA,NA
2015,"MUNICIPIO",2902005,NA,0.581,NA,NA
2015,"MUNICIPIO",3502804,NA,0.788,NA,NA
2015,"MUNICIPIO",2902104,NA,0.534,NA,NA
2015,"MUNICIPIO",3103306,NA,0.661,NA,NA
2015,"MUNICIPIO",2301208,NA,0.615,NA,NA
2015,"MUNICIPIO",2601052,NA,0.592,NA,NA
2015,"MUNICIPIO",3502903,NA,0.776,NA,NA
2015,"MUNICIPIO",3200607,NA,0.752,NA,NA
2015,"MUNICIPIO",5201603,NA,0.693,NA,NA
2015,"MUNICIPIO",3103405,NA,0.663,NA,NA
2015,"MUNICIPIO",5201702,NA,0.732,NA,NA
2015,"MUNICIPIO",5201801,NA,0.684,NA,NA
2015,"MUNICIPIO",1701309,NA,0.593,NA,NA
2015,"MUNICIPIO",1701903,NA,0.639,NA,NA
2015,"MUNICIPIO",1702000,NA,0.675,NA,NA
2015,"MUNICIPIO",5101001,NA,0.687,NA,NA
2015,"MUNICIPIO",1702109,NA,0.752,NA,NA
